"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"55",2,22,82686,81723,88548,82646,82026,84757,83737,87324,86763,88164,85057,82620,80998,79478,80979,80242,75958,76603,73530,73387,73373,70487,74364,74475,72525,73794,71916,72283,72621,72274,69716,66973,64061,60172,56385,42476,49657,49113
"56",2,23,83496,82113,87698,83201,82580,83926,83660,85672,88080,88283,84335,84202,82176,80657,80521,79961,76817,74100,74029,72696,72031,71160,72956,72474,70784,73374,69457,69000,69795,70008,67319,66047,63693,61636,57157,42125,49162,47573
"57",2,24,79866,77813,83110,79759,79601,81125,79361,81863,82052,84811,80626,79383,79714,78854,79382,77879,75227,73279,70737,70574,69159,67591,71720,70821,68578,69766,68273,66262,65313,66663,64793,64196,62211,60680,58150,43274,48318,47053
"58",2,25,79229,73464,77009,72655,73726,75280,75336,77042,77581,77609,76572,75407,75357,75614,76742,76228,72536,70597,68992,67497,67081,65323,68755,68322,66285,67411,65725,64244,63412,62496,62232,61082,60209,59267,56880,43827,49578,46467
"59",2,26,66651,69721,70941,66496,66618,68794,69811,72629,71793,72217,69828,70627,69866,69837,72619,72216,70359,68470,66651,65428,63261,62988,65221,64576,64496,65019,63237,60755,60898,59321,57843,58527,57946,56715,55432,42908,49419,46870
"60",2,27,62069,60604,67787,62916,62512,63818,64991,67515,68647,68212,65835,65138,66822,65215,67495,68401,66869,65241,63777,62325,61148,58981,62456,61264,59936,62266,59267,58043,57238,56818,55053,54279,54290,53679,52913,41389,47799,46949
"61",2,28,59875,56464,60120,59700,58457,59759,59568,62779,63327,63617,61369,61105,60293,61554,63252,63717,63102,62032,60991,59104,58446,57284,58249,58411,56427,58395,56554,54553,54175,53644,52248,51589,50029,50572,49439,39629,46056,44649
"62",2,29,51925,51255,55424,52984,55088,55438,54845,55632,56657,58083,56293,55423,56105,55118,57324,57882,57235,57305,56584,55561,54903,53467,55326,53983,53009,54425,53003,51387,50315,49674,48786,48389,47006,46856,46369,37275,43299,42858
"63",2,30,53219,49341,51727,47531,47826,51054,50075,53316,53972,54713,53110,53146,51513,51718,52714,52910,52426,52741,52747,52530,51948,50028,51756,51028,48771,50448,48743,47651,47539,46482,45849,44947,44418,43462,42637,34930,40212,39874
"64",2,31,35269,35956,39967,37603,37059,38619,41521,42324,41373,42975,42380,43152,44065,43051,44975,45407,44955,45148,45803,45981,45942,45218,46356,46064,44414,45481,43754,42245,42073,42660,41296,40961,40216,39879,39263,31531,37267,36781
"65",2,32,37641,36582,40126,36892,37070,37307,37745,43966,42636,41561,40221,40462,40922,40473,40837,41387,40418,41016,41166,40746,41338,40989,42545,41902,40642,41637,40527,38531,37872,38402,37660,37017,35601,35834,35470,28641,33457,33893
"66",2,33,32503,30976,34415,31885,31725,32626,32656,35073,37678,37178,34684,35153,35252,35454,36403,35982,35467,35117,35458,35610,35889,36573,37749,37495,36364,37071,34782,34444,34167,33605,33354,33327,32326,31967,31411,25479,29130,29150
"67",2,34,29497,27852,30472,28148,28227,28818,29596,30421,30449,33049,31291,30312,30930,30478,31402,31471,30450,30454,30424,30515,30928,30958,33371,32855,32079,32298,30463,29947,29893,29896,28868,29002,28945,28130,27566,22595,25976,26234
"68",2,35,29921,26634,27992,24527,24952,25911,25895,27529,27098,26962,28050,27386,25995,26120,26984,27525,26413,26131,26291,26102,26335,26282,27996,28657,27967,28426,27301,26153,26080,25510,25339,25214,25181,24989,24710,19886,23445,23254
"69",2,36,23363,23939,24314,21066,20740,21613,22168,23467,23265,23025,22385,23901,23200,22193,22962,22730,22845,22364,22386,21854,22365,22311,23545,23786,23562,24802,22885,22362,22242,21985,21458,21492,21137,21245,21373,17163,19734,19913
